row_id,category,reasons,strict_key_hash,relaxed_key_hash,near_family_hash
1,other,near_template_mixed_answers,346e237916e0618c,346e237916e0618c,27e916f37c0d27c3
3,translation,category_edge_sample,eadc3dbafaef4ab2,eadc3dbafaef4ab2,eadc3dbafaef4ab2
6,arithmetic/fractions,near_template_mixed_answers,15a843c68da44ba9,15a843c68da44ba9,374d8bc0ae7c3e49
7,arithmetic/fractions,near_template_mixed_answers,e288fe959e519ed1,e288fe959e519ed1,374d8bc0ae7c3e49
8,other,near_template_mixed_answers,73ef1c5679db37c4,73ef1c5679db37c4,3826b457c117aa9e
10,other,near_template_mixed_answers,0ce1bd09d88fbaf3,0ce1bd09d88fbaf3,ae4df25123852896
17,other,near_template_mixed_answers,c07c41279831d53f,c07c41279831d53f,17b6f6d0536adc16
18,other,near_template_mixed_answers,7d3cc87a959246a3,7d3cc87a959246a3,4b069d523c43fe6e
22,other,near_template_mixed_answers,e8c7064053358fae,e8c7064053358fae,247d6ec98c02f6b7
37,other,near_template_mixed_answers,fdee26e0f0e15405,fdee26e0f0e15405,2a0c8e31d396e935
44,other,near_template_mixed_answers,7c7e1c513044a560,7c7e1c513044a560,4eab343289855f61
47,other,near_template_mixed_answers,7a0bad81879dcb07,7a0bad81879dcb07,3fc98f4651ad90cc
55,other,near_template_mixed_answers,5da4b5fbc1a3940a,5da4b5fbc1a3940a,31c7916a65c0ffa7
57,arithmetic/fractions,near_template_mixed_answers,cacb08329217c678,cacb08329217c678,02400cb25e924e1a
61,Russian morphology,near_template_mixed_answers,3baff7a6d9e15617,3baff7a6d9e15617,867ca0c3902c6a64
65,other,near_template_mixed_answers,8cda40f158ce24f4,8cda40f158ce24f4,321874d5bb6ce6c9
70,other,near_template_mixed_answers,238e88cf3d4ed648,238e88cf3d4ed648,17b6f6d0536adc16
72,arithmetic/fractions,near_template_mixed_answers,a95b07cdc54b6cea,a95b07cdc54b6cea,2fe215ff26683959
73,Russian morphology,near_template_mixed_answers,cb6505622b44482e,cb6505622b44482e,dc40a1988570fdc1
74,arithmetic/fractions,near_template_mixed_answers,ae9e493f033b56c9,ae9e493f033b56c9,1527ab1a401a6f7b
79,arithmetic/fractions,near_template_mixed_answers,950e224be093a439,950e224be093a439,ac89219fc4e43511
80,Russian grammar,near_template_mixed_answers,f4e98149dfa3459e,f4e98149dfa3459e,1861d0f2bba6618e
91,arithmetic/fractions,near_template_mixed_answers,3d9a21be96336c85,3d9a21be96336c85,ef26e03c9a3da58e
108,Russian morphology,near_template_mixed_answers,4048bb4cbf062e07,4048bb4cbf062e07,7939ef0ea1263403
116,Russian grammar,near_template_mixed_answers,42453f01aa32a5cc,42453f01aa32a5cc,1861d0f2bba6618e
130,Russian morphology,near_template_mixed_answers,3e1f695a078ec586,3e1f695a078ec586,867ca0c3902c6a64
131,arithmetic/fractions,near_template_mixed_answers,753fc5a8513efe83,753fc5a8513efe83,374d8bc0ae7c3e49
